tax	1M	4H	5H	6H	6M	7H	7M	total
Bacteria;Bacteria_none;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 1	110153	13801	135750	5178	31509	79732	109428	485551
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;OM60(NOR5) clade	52475	615	735	1827	24519	44071	70544	194786
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Psychromonadaceae;Psychromonas	134	97644	5330	688	172	372	59821	164161
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter	61649	740	428	69827	193	913	5992	139742
Bacteria;Bacteria_none;Campylobacterota;Campylobacteria;Campylobacterales;Arcobacteraceae;Arcobacteraceae_uncultured	2626	44911	2605	12073	994	7310	4268	74787
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Colwelliaceae;Colwellia	1922	8412	603	5304	369	3353	2208	22171
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pseudoalteromonadaceae;Pseudoalteromonas	8216	19	119	10076	7	109	579	19125
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;Congregibacter	6899	156	0	1	3646	5717	2519	18938
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;Halioglobus	3754	1611	544	305	1506	3239	7717	18676
Bacteria;Bacteria_none;Firmicutes;Bacilli;Entomoplasmatales;Entomoplasmatales Incertae Sedis;Candidatus Hepatoplasma	8313	97	4901	1	75	1764	142	15293
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Mesonia	3132	0	1	10623	1	1	235	13993
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Serratia	301	0	1	24	0	0	10903	11229
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;Profundimonas	557	57	126	7815	80	761	524	9920
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	1868	149	72	145	1591	1687	2371	7883
Bacteria;Bacteria_none;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcales-Tissierellales_Incertae_sedis;Gottschalkia	387	243	1	0	91	3154	430	4306
Bacteria;Bacteria_none;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula	553	146	20	0	240	460	2263	3682
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacteraceae_uncultured	936	1001	21	3	492	336	891	3680
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Vibrionaceae;Vibrio	799	59	61	1253	0	7	855	3034
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Tenacibaculum	110	124	0	1802	83	411	104	2634
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Marinomonadaceae;Marinomonas	486	1	124	1602	10	28	176	2427
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Methylophagaceae;Methylophagaceae_uncultured	188	367	307	912	33	213	350	2370
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseovarius	607	20	3	1325	10	105	33	2103
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halomonadaceae;Cobetia	306	0	0	1472	0	0	16	1794
Bacteria;Bacteria_none;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Romboutsia	474	0	15	0	350	769	181	1789
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Carnobacterium	147	150	61	997	0	90	331	1776
Bacteria;Bacteria_none;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;Rubritalea	517	331	0	0	102	381	330	1661
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella	837	123	85	373	34	93	101	1646
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Cyclobacteriaceae_uncultured	101	0	0	1366	20	101	52	1640
Bacteria;Bacteria_none;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Puniceicoccaceae;Lentimonas	278	0	0	590	94	635	38	1635
Bacteria;Bacteria_none;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rubripirellula	412	264	44	0	92	74	428	1314
Bacteria;Bacteria_none;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Sarcina	331	26	44	1	197	416	263	1278
Bacteria;Bacteria_none;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;Persicirhabdus	235	35	0	0	112	484	349	1215
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Lacinutrix	180	24	0	584	9	310	103	1210
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Sulfitobacter	647	133	38	6	117	127	116	1184
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;Motiliproteus	111	3	18	733	15	126	119	1125
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;Parahaliea	233	11	22	39	79	141	533	1058
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Planococcaceae;Planococcus	68	0	0	948	0	0	0	1016
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Polaribacter	199	18	13	55	69	316	346	1016
Bacteria;Bacteria_none;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula	46	287	73	0	55	275	257	993
Bacteria;Bacteria_none;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 13	65	207	9	0	107	401	202	991
Bacteria;Bacteria_none;Campylobacterota;Campylobacteria;Campylobacterales;Sulfurovaceae;Sulfurovum	78	0	0	0	38	814	22	952
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Paraperlucidibaca	208	0	36	3	130	257	310	944
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halomonadaceae;Halomonas	504	8	3	239	40	30	108	932
Bacteria;Bacteria_none;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pir4 lineage	25	384	0	0	56	117	349	931
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Ulvibacter	156	9	11	258	87	257	93	871
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Moritellaceae;Moritella	5	41	673	2	1	64	55	841
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;Chromatocurvus	193	5	7	28	64	129	377	803
Bacteria;Bacteria_none;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae_uncultured	122	15	20	0	75	452	89	773
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Pseudofulvibacter	159	213	0	101	10	183	105	771
